[0.000000] (-) TimerEvent: {}
[0.000308] (-) JobUnselected: {'identifier': 'my_ur5e_moveit2_control'}
[0.000336] (-) JobUnselected: {'identifier': 'ur'}
[0.000352] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000365] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000376] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000388] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000399] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000409] (-) JobUnselected: {'identifier': 'ur_simulation_gz'}
[0.000423] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.086879] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml\n'}
[0.086937] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml\n'}
[0.086995] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml\n'}
[0.087054] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur16e\n'}
[0.087112] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml\n'}
[0.087170] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml\n'}
[0.087231] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml\n'}
[0.087289] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml\n'}
[0.087426] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/launch\n'}
[0.087487] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/launch/view_ur.launch.py\n'}
[0.087546] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes\n'}
[0.087605] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3\n'}
[0.087679] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision\n'}
[0.087748] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/upperarm.stl\n'}
[0.087809] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/base.stl\n'}
[0.087875] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/wrist1.stl\n'}
[0.088107] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/wrist3.stl\n'}
[0.088167] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/forearm.stl\n'}
[0.088227] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/wrist2.stl\n'}
[0.088286] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/collision/shoulder.stl\n'}
[0.088424] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual\n'}
[0.088486] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/upperarm.dae\n'}
[0.088545] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/shoulder.dae\n'}
[0.088603] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/wrist2.dae\n'}
[0.088817] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/forearm.dae\n'}
[0.088885] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/base.dae\n'}
[0.088945] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/wrist1.dae\n'}
[0.089006] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3/visual/wrist3.dae\n'}
[0.089162] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e\n'}
[0.089226] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision\n'}
[0.089285] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/upperarm.stl\n'}
[0.089369] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/base.stl\n'}
[0.089430] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist1.stl\n'}
[0.089488] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist3.stl\n'}
[0.089547] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/forearm.stl\n'}
[0.089605] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist2.stl\n'}
[0.089663] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/collision/shoulder.stl\n'}
[0.089735] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual\n'}
[0.089794] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/upperarm.dae\n'}
[0.089927] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/shoulder.dae\n'}
[0.089989] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist2.dae\n'}
[0.090073] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/forearm.dae\n'}
[0.090126] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/base.dae\n'}
[0.090180] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist1.dae\n'}
[0.090233] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist3.dae\n'}
[0.090286] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e\n'}
[0.090345] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision\n'}
[0.090425] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/upperarm.stl\n'}
[0.090482] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/base.stl\n'}
[0.090541] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist1.stl\n'}
[0.090600] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist3.stl\n'}
[0.090661] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/forearm.stl\n'}
[0.090764] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist2.stl\n'}
[0.090819] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/collision/shoulder.stl\n'}
[0.090873] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual\n'}
[0.090925] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/upperarm.dae\n'}
[0.090978] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/shoulder.dae\n'}
[0.091031] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist2.dae\n'}
[0.091085] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/forearm.dae\n'}
[0.091138] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/base.dae\n'}
[0.091203] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist1.dae\n'}
[0.091256] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist3.dae\n'}
[0.091309] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5\n'}
[0.091362] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision\n'}
[0.091414] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/upperarm.stl\n'}
[0.091474] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/base.stl\n'}
[0.091527] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/wrist1.stl\n'}
[0.091579] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/wrist3.stl\n'}
[0.091631] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/forearm.stl\n'}
[0.091696] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/wrist2.stl\n'}
[0.091755] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/collision/shoulder.stl\n'}
[0.091807] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual\n'}
[0.091860] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/upperarm.dae\n'}
[0.091929] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/shoulder.dae\n'}
[0.091998] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/wrist2.dae\n'}
[0.092066] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/forearm.dae\n'}
[0.092133] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/base.dae\n'}
[0.092201] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/wrist1.dae\n'}
[0.092270] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur5/visual/wrist3.dae\n'}
[0.092366] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30\n'}
[0.092440] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/LICENSE.txt\n'}
[0.092509] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/collision\n'}
[0.092577] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/collision/upperarm.stl\n'}
[0.092645] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/collision/forearm.stl\n'}
[0.092830] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/visual\n'}
[0.092979] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/visual/upperarm.dae\n'}
[0.093040] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/visual/UR30_DIFF_8bit_2K.png\n'}
[0.093099] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur30/visual/forearm.dae\n'}
[0.093156] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20\n'}
[0.093214] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/LICENSE.txt\n'}
[0.093315] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision\n'}
[0.093380] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/upperarm.stl\n'}
[0.093445] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/base.stl\n'}
[0.093513] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/wrist1.stl\n'}
[0.093577] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/wrist3.stl\n'}
[0.093642] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/forearm.stl\n'}
[0.093858] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/wrist2.stl\n'}
[0.094321] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/collision/shoulder.stl\n'}
[0.094397] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual\n'}
[0.094465] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/upperarm.dae\n'}
[0.094533] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/UR20_DIFF_8bit_2K.png\n'}
[0.094601] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/shoulder.dae\n'}
[0.094676] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/wrist2.dae\n'}
[0.094902] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/forearm.dae\n'}
[0.094975] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/base.dae\n'}
[0.095044] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/wrist1.dae\n'}
[0.095112] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur20/visual/wrist3.dae\n'}
[0.095179] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e\n'}
[0.095247] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision\n'}
[0.095314] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/upperarm.stl\n'}
[0.095382] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/base.stl\n'}
[0.095451] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist1.stl\n'}
[0.095519] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist3.stl\n'}
[0.095701] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/forearm.stl\n'}
[0.095803] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist2.stl\n'}
[0.095864] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/collision/shoulder.stl\n'}
[0.095920] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual\n'}
[0.095974] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/upperarm.dae\n'}
[0.096028] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/shoulder.dae\n'}
[0.096082] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist2.dae\n'}
[0.096135] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/forearm.dae\n'}
[0.096189] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/base.dae\n'}
[0.096244] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist1.dae\n'}
[0.096297] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10e/visual/wrist3.dae\n'}
[0.096351] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10\n'}
[0.096404] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision\n'}
[0.096457] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/upperarm.stl\n'}
[0.096510] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/base.stl\n'}
[0.096565] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/wrist1.stl\n'}
[0.096618] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/wrist3.stl\n'}
[0.096678] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/forearm.stl\n'}
[0.096742] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/wrist2.stl\n'}
[0.096823] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/collision/shoulder.stl\n'}
[0.096877] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual\n'}
[0.096930] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/upperarm.dae\n'}
[0.096983] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/shoulder.dae\n'}
[0.097037] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/wrist2.dae\n'}
[0.097090] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/forearm.dae\n'}
[0.097151] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/base.dae\n'}
[0.097204] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/wrist1.dae\n'}
[0.097257] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur10/visual/wrist3.dae\n'}
[0.097310] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e\n'}
[0.097364] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e/collision\n'}
[0.097417] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e/collision/upperarm.stl\n'}
[0.097471] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e/collision/forearm.stl\n'}
[0.097607] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e/visual\n'}
[0.097789] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e/visual/upperarm.dae\n'}
[0.097954] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/meshes/ur16e/visual/forearm.dae\n'}
[0.098080] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/rviz\n'}
[0.098360] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/rviz/view_robot.rviz\n'}
[0.098612] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf\n'}
[0.098750] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/inc\n'}
[0.099040] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/inc/ur_transmissions.xacro\n'}
[0.099213] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/inc/ur_joint_control.xacro\n'}
[0.099370] (-) TimerEvent: {}
[0.099483] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/inc/ur_sensors.xacro\n'}
[0.099643] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/inc/ur_common.xacro\n'}
[0.099778] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/ur_mocked.urdf.xacro\n'}
[0.099889] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/ur_macro.xacro\n'}
[0.099996] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/ur.urdf.xacro\n'}
[0.100103] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/urdf/ros2_control_mock_hardware.xacro\n'}
